split,model,model_label,horizon,count,mae_mwh,rmse_mwh,mape_pct,smape_pct,bias_mwh,r_squared
test,flat_persistence,Flat persistence,4,184,3835.4673913043,4336.8065076485,11.4149353883,12.2873514547,-3796.9891304348,0.4890206329
test,flat_persistence,Flat persistence,5,184,3408.3858695652,3927.9786184721,10.3765099537,11.1254546639,-3341.1793478261,0.5325173214
test,flat_persistence,Flat persistence,6,184,2618.4076086957,3152.5202056036,8.2549307249,8.7603652330,-2437.0163043478,0.6597558425
test,flat_persistence,Flat persistence,7,184,1927.6793478261,2379.7220642884,6.3647830934,6.6349046881,-1359.3423913043,0.7679641684
test,flat_persistence,Flat persistence,8,184,1572.4782608696,2070.2954263037,5.4378575251,5.4053005248,297.2608695652,0.7480105833
test,flat_persistence,Flat persistence,9,184,2418.6739130435,3102.1643478875,8.6598022480,8.1836981981,2048.6413043478,0.2111493835
test,flat_persistence,Flat persistence,10,184,3482.0652173913,4232.0794482762,13.0651527224,12.0199131588,3341.9347826087,-0.9131214203
test,flat_persistence,Flat persistence,11,184,4441.6467391304,5232.3890799228,17.4044401186,15.6675868217,4386.3641304348,-2.8417367971
test,flat_persistence,Flat persistence,12,184,5296.7282608696,6094.6879507807,21.6295867430,19.1008034530,5275.3152173913,-5.2488194116
test,flat_persistence,Flat persistence,13,184,5869.2173913043,6655.6995981868,24.6547573208,21.4930628467,5860.5217391304,-7.1159855250
test,flat_persistence,Flat persistence,14,184,6081.9239130435,6884.5942059380,25.8313376621,22.3875952468,6077.0760869565,-8.1075782592
test,flat_persistence,Flat persistence,15,184,5778.3804347826,6670.5493190135,24.2495707610,21.0783875893,5774.7282608696,-7.4805932281
test,flat_persistence,Flat persistence,16,184,4906.6032608696,5915.4027046017,19.8143847413,17.4844577381,4739.3750000000,-4.9802291658
test,flat_persistence,Flat persistence,17,184,3681.9130434783,4632.1021134179,14.0098348014,12.8047978726,3069.4021739130,-1.5185251877
test,flat_persistence,Flat persistence,18,184,2692.5271739130,3452.3115043151,9.6316876653,9.2885535692,1222.6467391304,0.0205451688
test,flat_persistence,Flat persistence,19,184,2536.2608695652,3265.9313755803,8.7895727685,8.7208377811,406.8260869565,0.1015741942
test,flat_persistence,Flat persistence,20,184,2444.9728260870,3151.0393342308,8.4816591366,8.4179104083,428.7336956522,0.2028211155
test,flat_persistence,Flat persistence,21,184,2407.8315217391,3068.7975295177,8.4763391231,8.3466205331,690.4510869565,0.3480678332
test,flat_persistence,Flat persistence,22,184,2343.9402173913,2998.3335996850,8.3498693792,8.1897057490,777.7989130435,0.4714761488
test,flat_persistence,Flat persistence,23,184,2279.3695652174,2905.3640627220,8.1346802988,8.0184699852,573.8804347826,0.5986674040
test,flat_persistence,Flat persistence,24,184,2230.0760869565,2895.7531797895,7.7333642920,7.7473437457,14.8695652174,0.6862086099
test,recursive_linear_regression,Recursive Linear Regression,1,184,531.0312665055,650.1140738289,1.8273344884,1.8214579486,-21.7953209818,0.9877016907
test,recursive_linear_regression,Recursive Linear Regression,2,184,1183.2437772326,1438.7923448890,4.1874917035,4.0943084606,369.2856934715,0.9520270122
test,recursive_linear_regression,Recursive Linear Regression,3,184,1257.4162321030,1536.5508326805,4.0564534219,4.0121615041,109.4451958077,0.9451354784
test,recursive_linear_regression,Recursive Linear Regression,4,184,1170.3314821162,1517.7756653008,3.5048944850,3.5049753513,-170.5151705881,0.9374138203
test,recursive_linear_regression,Recursive Linear Regression,5,184,1201.4022027553,1580.7452730764,3.6851729983,3.6426621364,201.1897253109,0.9242903781
test,recursive_linear_regression,Recursive Linear Regression,6,184,1218.0679786413,1609.6828570085,3.8787438434,3.8205456874,292.7815387619,0.9112934770
test,recursive_linear_regression,Recursive Linear Regression,7,184,1127.4960163833,1485.3712536660,3.6739411094,3.6542422032,-8.2035558286,0.9095991300
test,recursive_linear_regression,Recursive Linear Regression,8,184,970.0246581709,1250.6450759264,3.4064020989,3.3923865232,-18.3751762695,0.9080427848
test,recursive_linear_regression,Recursive Linear Regression,9,184,828.8982434027,1067.3469592099,3.1252364249,3.1114570494,77.6711503838,0.9066151557
test,recursive_linear_regression,Recursive Linear Regression,10,184,713.4876019817,915.6319777131,2.8289473190,2.8325567528,-13.7136725360,0.9104476858
test,recursive_linear_regression,Recursive Linear Regression,11,184,692.5788171701,857.3019731016,2.8520181015,2.8488139496,65.3628913109,0.8968675838
test,recursive_linear_regression,Recursive Linear Regression,12,184,756.6541088304,942.6471764553,3.2211418270,3.1691094846,428.8558463684,0.8505164625
test,recursive_linear_regression,Recursive Linear Regression,13,184,998.1738202148,1212.3157245845,4.3554626621,4.2313435123,850.7408571265,0.7307316456
test,recursive_linear_regression,Recursive Linear Regression,14,184,1247.9533820306,1465.9951638981,5.5021278603,5.3088360834,1153.3672524696,0.5870368566
test,recursive_linear_regression,Recursive Linear Regression,15,184,1227.5706244137,1448.6956271647,5.3449536625,5.1649462902,1102.6482014142,0.6000024491
test,recursive_linear_regression,Recursive Linear Regression,16,184,952.7973715849,1200.0967277982,3.9512740146,3.8840037879,469.7795194298,0.7538602820
test,recursive_linear_regression,Recursive Linear Regression,17,184,1157.1060474392,1489.1043928095,4.4129576012,4.5104499644,-610.3378198583,0.7397202753
test,recursive_linear_regression,Recursive Linear Regression,18,184,1888.8581396030,2321.4362806929,6.6548573310,6.9645204033,-1649.2211019349,0.5571282310
test,recursive_linear_regression,Recursive Linear Regression,19,184,1837.0744838626,2256.0432977250,6.3684665099,6.6493674218,-1523.5267083698,0.5712906371
test,recursive_linear_regression,Recursive Linear Regression,20,184,1421.5382817454,1824.1800264813,4.9828619711,5.0851154670,-579.1643060780,0.7328325593
test,recursive_linear_regression,Recursive Linear Regression,21,184,1451.9571106489,1815.0275770686,5.1891138208,5.1192885549,451.9035472121,0.7719487830
test,recursive_linear_regression,Recursive Linear Regression,22,184,1718.8935699986,2128.4815532443,6.2405200367,6.0267949770,1082.5760134870,0.7336550486
test,recursive_linear_regression,Recursive Linear Regression,23,184,1856.1921386189,2277.8647814030,6.7192655101,6.4604869127,1180.4589266794,0.7533056554
