split,horizon,metric,unit,count,mae_mwh,rmse_mwh,bias_mwh,mape_pct,mape_count,smape_pct,smape_count
test,14,renewable_share,percentage_points,182,4.3900675276,5.6234112774,-0.0329951452,67.1214603856,182,52.3734529018,182
test,15,renewable_combined,MWh,182,968.8571428571,1236.2122670605,9.5274725275,71.5413852820,182,53.4180359965,182
test,15,residual_demand,MWh,182,1287.7702180632,1591.6776777190,345.9641354739,6.2438902332,182,6.1157059782,182
test,15,renewable_share,percentage_points,182,4.2663625109,5.5036529987,-0.0965171244,70.9364167623,182,53.9129648956,182
test,16,renewable_combined,MWh,182,929.3846153846,1215.9441092925,28.6263736264,63.0863582355,182,46.4932027274,182
test,16,residual_demand,MWh,182,1349.0960465316,1678.4537967354,211.5865169986,6.2931016717,182,6.1946521952,182
test,16,renewable_share,percentage_points,182,3.9545939791,5.2215529234,0.0012357230,63.3542465787,182,47.2419240559,182
test,17,renewable_combined,MWh,182,1050.0274725275,1340.9651334062,62.6978021978,33.2543075585,182,28.6183994154,182
test,17,residual_demand,MWh,182,1560.1024532109,1928.9516306834,-279.8413783482,7.7275982903,182,7.7893359280,182
test,17,renewable_share,percentage_points,182,4.3339206198,5.5155668806,0.4897152445,34.1054342648,182,29.4399744625,182
test,18,renewable_combined,MWh,182,1157.9230769231,1501.6725473819,81.5824175824,14.6813587988,182,13.8845510168,182
test,18,residual_demand,MWh,182,1986.0663740556,2493.4390813004,-1171.0983537946,11.8716267454,182,12.5770047910,182
test,18,renewable_share,percentage_points,182,5.2497866005,6.4752769686,2.0203728889,17.1049611523,182,15.8544086574,182
test,19,renewable_combined,MWh,182,1291.0329670330,1792.8884056641,55.7692307692,11.3100919428,182,10.8931448125,182
test,19,residual_demand,MWh,182,2314.4952996223,2847.3480837410,-1596.4012491415,15.7624700890,182,17.1414951517,182
test,19,renewable_share,percentage_points,182,6.1870714157,7.9354214373,3.0268622611,14.5396199533,182,13.5046498426,182
test,20,renewable_combined,MWh,182,1256.0879120879,1718.9074379442,39.0879120879,9.6263064775,182,9.3588930083,182
test,20,residual_demand,MWh,182,2194.0008370536,2772.3987791791,-1456.6107057005,16.1619573314,182,17.5714196975,182
test,20,renewable_share,percentage_points,182,6.0099100309,7.7163703036,2.8660712934,12.6670851124,182,11.7958804759,182
test,21,renewable_combined,MWh,182,1066.0054945055,1446.8564465499,33.6318681319,7.5839453429,182,7.4541994258,182
test,21,residual_demand,MWh,182,1938.6845381181,2493.7161607143,-1068.2213040865,14.9659288606,182,15.9794735271,182
test,21,renewable_share,percentage_points,182,5.0573123885,6.7075252079,2.1569945118,10.0571595856,182,9.4712037879,182
test,22,renewable_combined,MWh,182,1063.7252747253,1432.8498460476,30.3516483516,7.3923725792,182,7.2658705954,182
test,22,residual_demand,MWh,182,1979.5097012363,2514.5012121949,-617.7360276442,16.1338346936,182,16.5369894027,182
test,22,renewable_share,percentage_points,182,5.0699391381,6.6931480413,1.3101685360,9.7633350516,182,9.3551341194,182
test,23,renewable_combined,MWh,182,1104.4450549451,1485.4001477383,30.7857142857,7.6548809525,182,7.5418391448,182
test,23,residual_demand,MWh,182,2103.9084070227,2680.9261377725,-168.5210229224,17.5015609635,182,17.0394923371,182
test,23,renewable_share,percentage_points,182,5.2421574386,6.8275537151,0.4653032603,10.0266501272,182,9.8198416724,182
test,24,renewable_combined,MWh,182,1279.0164835165,1752.5737949066,24.7197802198,9.0914365195,182,8.8898037700,182
test,24,residual_demand,MWh,182,2385.2821407109,3059.9301650291,223.6505301339,19.4403184623,182,17.9969959961,182
test,24,renewable_share,percentage_points,182,5.8878420247,7.5853711293,-0.3117930366,11.5639398417,182,11.4702838045,182
validation,1,renewable_combined,MWh,182,1933.6208791209,2574.7034535314,-42.7197802198,18.0630395808,182,17.3059098809,182
validation,1,residual_demand,MWh,182,2033.4201579670,2701.3994836588,335.0060096154,31.4105836179,182,29.0848093041,182
validation,1,renewable_share,percentage_points,182,8.8554423532,11.7863256377,-1.0770661297,18.1021095289,182,17.5525385731,182
validation,2,renewable_combined,MWh,182,1838.9010989011,2480.1711036331,-56.8791208791,21.0216908060,182,19.2590453550,182
validation,2,residual_demand,MWh,182,2242.5723300137,2905.8358390992,664.2512877747,27.8847368928,182,24.4165242015,182
validation,2,renewable_share,percentage_points,182,8.8440441726,11.6364074783,-1.8025581345,21.9394255427,182,20.7320104951,182
validation,3,renewable_combined,MWh,182,1473.3241758242,1955.3246421103,-75.5879120879,25.6390471873,182,22.1004091866,182
validation,3,residual_demand,MWh,182,1944.4083640968,2501.2101603080,548.2606134100,16.6022530887,182,15.5292765024,182
validation,3,renewable_share,percentage_points,182,6.7594415995,8.9974954841,-1.0582064831,26.5406042709,182,23.4807460228,182
validation,4,renewable_combined,MWh,182,1167.4505494505,1504.1003992384,-53.0879120879,60.4958998999,182,34.1252145281,182
validation,4,residual_demand,MWh,182,1627.8829090831,2021.0881534673,289.8957653674,8.8825446443,182,8.7180550506,182
validation,4,renewable_share,percentage_points,182,4.8669992663,6.2915360490,-0.4111099890,61.7548356203,182,34.9494838593,182
validation,5,renewable_combined,MWh,182,1042.4560439560,1297.1386282426,-16.7417582418,66.5753652281,182,43.0442137259,182
validation,5,residual_demand,MWh,182,1355.8972463084,1695.1134620658,22.3004915007,5.8059128384,182,5.8173876897,182
validation,5,renewable_share,percentage_points,182,4.0153040411,5.0000324925,-0.0350932021,66.9771737364,182,43.3906625990,182
validation,6,renewable_combined,MWh,182,994.4505494505,1262.5207995240,-4.9120879121,67.9065269569,182,43.4661571501,182
validation,6,residual_demand,MWh,182,1283.0786186470,1648.9369593105,-79.9581473214,5.3714225702,182,5.4019875664,182
validation,6,renewable_share,percentage_points,182,3.8377838012,4.8701764482,0.0600667685,68.1574191604,182,43.9372433570,182
validation,7,renewable_combined,MWh,182,986.2967032967,1260.2054297910,-5.5164835165,65.4641907531,182,42.2859927051,182
validation,7,residual_demand,MWh,182,1242.5026399382,1590.8407095382,-94.2546789148,5.3540203145,182,5.3838155078,182
validation,7,renewable_share,percentage_points,182,3.8839156900,4.9715761982,0.0564245156,65.5374796458,182,42.6140459946,182
